"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora tenemos ratones de 4 meses que no son diabéticos y que antes eran diabéticos"", añadió."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes."	"USA Gymnastics apoya una investigación independiente que puede arrojar luz sobre cómo el abuso de la proporción descrita con tanta valentía por los supervivientes de Larry Nassar podría haber pasado desapercibido durante tanto tiempo y acepta cualquier cambio necesario y apropiado."
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment."	"USA Gymnastics y el USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas sigan sus sueños en un ambiente seguro, positivo y empoderado."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration."	"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y luego para la administración de Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger."	"Durante las elecciones de 1976, asesoró a Carter en política exterior y luego se desempeñó como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979."	"Como NSA, ayudó a Carter a manejar diplomáticamente asuntos mundiales, como los Acuerdos de Camp David de 1978; normalizar las relaciones entre Estados Unidos y China a finales de los años 1970; la Revolución iraní, que condujo a la crisis de los rehenes en Irán, 1979; y la invasión soviética en Afganistán, 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories."	"La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales."
"Gosling and Stone received nominations for Best Actor and Actress respectively."	"Gosling y Stone recibieron nominaciones a Mejor Actor y Actriz respectivamente."
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay."	"Las otras nominaciones incluyen Mejor Película, Director, Fotografía, Diseño de Vestuario, Edición de Cine, Música Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guión Original."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio."	"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones a mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria."	"A última hora del domingo, el presidente de Estados Unidos, Donald Trump, en un comunicado emitido a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria."
"The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan."	"El anuncio se hizo después de que Trump mantuviera una conversación telefónica con el presidente turco, Recep Tayyip Erdoğan."
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate."	"Turquía también se haría cargo de proteger a los combatientes capturados de ISIS que, según el comunicado, las naciones europeas se han negado a repatriar."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement."	"Esto no sólo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya muy extendida, sino que proporciona detalles que los fósiles generalmente no pueden, como el color y la disposición tridimensional."
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside."	". Los científicos dicen que el plumaje de este animal era marrón castaño en la parte superior con una parte inferior pálida o de color carotenoide."
"The find also grants insight into the evolution of feathers in birds."	"El hallazgo también permite conocer la evolución de las plumas de las aves."
"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features."	"Debido a que las plumas de los dinosaurios no tienen un eje bien desarrollado, llamado raquis, pero tienen otras características de las plumas “púas y bárbulas «, los investigadores dedujeron que el raquis probablemente fue un desarrollo evolutivo posterior que estas otras características."
"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."	"La estructura de las plumas sugiere que no se utilizaban en vuelo sino para regular o exhibir la temperatura. Los investigadores sugirieron que, aunque se trata de la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumaje de polluelo."
"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."	"Los investigadores sugirieron que, aunque se trata de la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumaje de polluelo."
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people."	"Un coche bomba detonado ayer por la mañana en la sede de la policía en Gaziantep, Turquía, mató a dos agentes de policía e hirió a más de veinte personas."
"The governor's office said nineteen of the injured were police officers."	"La oficina del gobernador dijo que diecinueve de los heridos eran agentes de policía."
"Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack."	"La policía dijo que sospecha que un presunto militante de Daesh (ISIL) es responsable del ataque."
"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else."	"Descubrieron que el Sol operaba según los mismos principios básicos que otras estrellas: se descubrió que la actividad de todas las estrellas del sistema estaba impulsada por su luminosidad, su rotación y nada más."
"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow."	"La luminosidad y la rotación se utilizan juntas para determinar el número de Rossby de una estrella, que está relacionado con el flujo de plasma."
"The smaller the Rossby number, the less active the star with respect to magnetic reversals."	"Cuanto menor sea el número de Rossby, menos activa será la estrella con respecto a las inversiones magnéticas."
"During his trip, Iwasaki ran into trouble on many occasions."	"Durante su viaje, Iwasaki tuvo problemas en muchas ocasiones."
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India."	"Fue asaltado por piratas, atacado en el Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue arrestado en la India."
"The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies."	"El estándar 802.11n opera en las frecuencias de 2,4 Ghz y 5,0 Ghz."
"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios."	"Esto permitirá que sea compatible con versiones anteriores de 802.11a, 802.11b y 802.11g, siempre que la estación base tenga radios duales."
"The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s."	"Las velocidades de 802,11n son sustancialmente más rápidas que las de sus predecesores con un rendimiento teórico máximo de 600 Mbit/s."
"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related."	"Duvall, que está casado y tiene dos hijos adultos, no dejó una gran impresión en Miller, con quien se relató la historia."
"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying."""	"Cuando se le pidió un comentario, Miller dijo: ""Mike habla mucho durante la audiencia... Me estaba preparando así que realmente no estaba escuchando lo que él estaba diciendo"""
"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said."	"""Nos esforzaremos por reducir las emisiones de dióxido de carbono por unidad de PIB por un margen notable para 2020 con respecto al nivel de 2005"", dijo Hu."
"He did not set a figure for the cuts, saying they will be made based on China's economic output."	"No fijó una cifra para los recortes, diciendo que se harán en función de la producción económica de China."
"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later."""	"Hu alentó a los países en desarrollo a ""evitar el viejo camino de contaminar primero y limpiar después"""
"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."""	"Añadió que ""sin embargo, no se les debe pedir que asuman obligaciones que vayan más allá de su etapa de desarrollo, responsabilidad y capacidades"""
"The Iraq Study Group presented its report at 12.00 GMT today."	"El Grupo de Estudio de Irak presentó su informe hoy a las 12.00 GMT."
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos."	"Advierte que nadie puede garantizar que cualquier curso de acción en Irak en este momento detenga la guerra sectaria, la creciente violencia o un deslizamiento hacia el caos."
"The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East."	"El Informe comienza con un llamado a un debate abierto y la formación de un consenso en Estados Unidos sobre la política hacia Medio Oriente."
"The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction."	"El Informe es muy crítico con casi todos los aspectos de la actual política del Ejecutivo hacia Irak e insta a un cambio inmediato de dirección."
"First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors."	"La primera de sus 78 recomendaciones es que se debe tomar una nueva iniciativa diplomática antes de finales de este año para proteger las fronteras de Irak contra intervenciones hostiles y restablecer relaciones diplomáticas con sus vecinos."
"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires."	"La actual senadora y Primera Dama argentina Cristina Fernández de Kirchner anunció ayer por la tarde su candidatura presidencial en La Plata, una ciudad a 50 kilómetros (31 millas) de Buenos Aires."
"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation."	"La señora Kirchner anunció su intención de postularse para la presidencia del Teatro Argentino, mismo lugar que utilizó para iniciar su campaña para el Senado en 2005 como miembro de la delegación de la provincia de Buenos Aires."
"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal."""	"El debate fue provocado por la controversia sobre el gasto en ayuda y reconstrucción tras el huracán Katrina; que algunos conservadores fiscales han denominado con humor ""el acuerdo de Bush con Nueva Orleans"""
"Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders."	"Las críticas liberales al esfuerzo de reconstrucción se han centrado en la adjudicación de contratos de reconstrucción a personas percibidas como conocedores de Washington."
"Over four million people went to Rome to attend the funeral."	"Más de cuatro millones de personas fueron a Roma para asistir al funeral."
"The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square."	"El número de personas presentes fue tan grande que no todos pudieron acceder al funeral en la Plaza de San Pedro."
"Several large television screens were installed in various places in Rome to let the people watch the ceremony."	"Se instalaron varias pantallas de televisión de gran tamaño en varios lugares de Roma para que la gente pudiera ver la ceremonia."
"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people."	"En muchas otras ciudades de Italia y del resto del mundo, particularmente en Polonia, se crearon estructuras similares, que fueron vistas por un gran número de personas."
"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate."	"Los historiadores han criticado las políticas anteriores del FBI por centrar recursos en casos que son fáciles de resolver, especialmente casos de automóviles robados, con la intención de aumentar la tasa de éxito de la agencia."
"Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography."	"El Congreso comenzó a financiar la iniciativa de obscenidad en el año fiscal 2005 y especificó que el FBI debe dedicar 10 agentes a la pornografía para adultos."
"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes."	"Robin Uthappa logró la puntuación más alta en entradas, 70 carreras en sólo 41 bolas al acertar 11 cuatros y 2 seises."
"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership."	"Los bateadores de orden medio, Sachin Tendulkar y Rahul Dravid, tuvieron un buen desempeño e hicieron una asociación de cien carreras."
"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings."	"Pero, después de perder el terreno del capitán, India solo hizo 36 carreras y perdió 7 terrenos para terminar las entradas."
"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia."	"El presidente estadounidense George W. Bush llegó a Singapur la mañana del 16 de noviembre, iniciando una gira de una semana por Asia."
"He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong."	"Fue recibido por el Viceprimer Ministro de Singapur, Wong Kan Seng, y discutió cuestiones comerciales y terroristas con el Primer Ministro de Singapur, Lee Hsien Loong."
"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia."	"Después de una semana de derrotas en las elecciones de mitad de período, Bush habló a la audiencia sobre la expansión del comercio en Asia."
"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO."	"El primer ministro Stephen Harper acordó enviar la 'Ley de Aire Limpio' del gobierno a un comité de todos los partidos para su revisión, antes de su segunda lectura, después de la reunión de 25 minutos del martes con el líder del NDP, Jack Layton, en la PMO."
"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill."	"Layton había pedido cambios en el proyecto de ley ambiental de los conservadores durante la reunión con el primer ministro, pidiendo una ""reescritura exhaustiva y completa"" del proyecto de ley ambiental del Partido Conservador."
"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November."	"Desde que el gobierno federal intervino para hacerse cargo de la financiación del hospital Mersey en Devonport, Tasmania, el gobierno estatal y algunos parlamentarios federales han criticado este acto como un truco en el preludio de las elecciones federales que se convocarán en noviembre."
"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million."	"Pero el primer ministro John Howard ha dicho que la ley era sólo para salvaguardar las instalaciones del hospital de ser degradadas por el gobierno de Tasmania, al donar 45 millones de dólares australianos adicionales."
"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue."	"Según el último boletín, las lecturas del nivel del mar indicaron que se generó un tsunami. Se registró cierta actividad de tsunami cerca de Pago Pago y Niue."
"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC."	"No se han reportado daños ni heridos importantes en Tonga, pero se perdió temporalmente el suministro eléctrico, lo que supuestamente impidió que las autoridades tonganas recibieran la alerta de tsunami emitida por el PTWC."
"Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted."	"Catorce escuelas en Hawái ubicadas en la costa o cerca de ella estuvieron cerradas todo el miércoles a pesar de que se levantaron las advertencias."
"U.S. President George W. Bush welcomed the announcement."	"El presidente estadounidense, George W. Bush, acogió con satisfacción el anuncio."
"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."""	"El portavoz de Bush, Gordon Johndroe, calificó la promesa de Corea del Norte como ""un paso importante hacia el objetivo de lograr la desnuclearización verificable de la península de Corea"""
"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today."	"La décima tormenta con nombre de la temporada de huracanes en el Atlántico, la tormenta subtropical Jerry, se formó hoy en el Océano Atlántico."
"The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land."	"El Centro Nacional de Huracanes (NHC) dice que en este momento Jerry no representa ninguna amenaza para la tierra."
"The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees."	"El Cuerpo de Ingenieros de Estados Unidos estimó que 6 pulgadas de lluvia podrían romper los diques previamente dañados."
"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped."	"El Distrito Noveno, que sufrió inundaciones de hasta 20 pies durante el huracán Katrina, se encuentra actualmente en el agua hasta la cintura cuando el dique cercano fue desbordado."
"Water is spilling over the levee in a section 100 feet wide."	"El agua se derrama sobre el dique en una sección de 100 pies de ancho."
"Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month."	"El administrador de la Cámara de los Comunes, Adam Cuerden, expresó su frustración por las eliminaciones cuando habló con Wikinews el mes pasado."
"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion."""	"""Él [Gales] básicamente nos mintió desde el principio. Primero, actuando como si esto fuera por razones legales. Segundo, fingiendo que nos estaba escuchando, hasta su eliminación del arte"""
"The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media."	"La irritación de la comunidad llevó a los esfuerzos actuales para redactar una política sobre contenido sexual para el sitio que alberga millones de medios con licencia abierta."
"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy."	"El trabajo realizado fue mayoritariamente teórico, pero el programa fue escrito para simular observaciones realizadas de la galaxia de Sagitario."
"The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter."	"El efecto que el equipo estaba buscando sería causado por fuerzas de marea entre la materia oscura de la galaxia y la materia oscura de la Vía Láctea."
"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy."	"Así como la Luna ejerce una atracción sobre la Tierra, provocando mareas, también lo hace la Vía Láctea ejerciendo una fuerza sobre la galaxia de Sagitario."
"The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does."	"Los científicos pudieron concluir que la materia oscura afecta a otra materia oscura de la misma manera que lo hace la materia normal."
"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles."	"Esta teoría dice que la mayor parte de la materia oscura alrededor de una galaxia se encuentra alrededor de una galaxia en una especie de halo y está formada por muchas partículas pequeñas."
"Television reports show white smoke coming from the plant."	"Los informes de televisión muestran humo blanco saliendo de la planta."
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water."	"Las autoridades locales advierten a los residentes de las proximidades de la planta que permanezcan en el interior, apaguen los aparatos de aire acondicionado y no beban agua del grifo."
"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant."	"Según la agencia nuclear japonesa, en la planta se han identificado cesio y yodo radiactivos."
"Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking."	"Las autoridades especulan que esto indica que los contenedores que contienen combustible de uranio en el sitio pueden haberse roto y tener fugas."
"Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal."	"El Dr. Tony Moll descubrió la tuberculosis extremadamente resistente a los medicamentos (XDR-TB) en la región sudafricana de KwaZulu-Natal."
"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate."""	"En una entrevista, dijo que la nueva variante era ""muy preocupante y alarmante debido a la altísima tasa de mortalidad"""
"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers."	"Algunos pacientes podrían haber contraído el virus en el hospital, piensa el Dr. Moll, y al menos dos eran trabajadores de salud del hospital."
