"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora tenemos ratones de 4 meses que no son diabéticos y que antes eran diabéticos"", añadió."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes."	"USA Gymnastics apoya una investigación independiente que puede arrojar luz sobre cómo el abuso de la proporción descrita con tanta valentía por los supervivientes de Larry Nassar podría haber pasado desapercibido durante tanto tiempo y acepta cualquier cambio necesario y apropiado."
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment."	"USA Gymnastics y el USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas sigan sus sueños en un ambiente seguro, positivo y empoderado."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration."	"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y luego para la administración de Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger."	"Durante las elecciones de 1976, asesoró a Carter en política exterior y luego se desempeñó como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979."	"Como NSA, ayudó a Carter a manejar diplomáticamente asuntos mundiales, como los Acuerdos de Camp David de 1978; normalizar las relaciones entre Estados Unidos y China a finales de los años 1970; la Revolución iraní, que condujo a la crisis de los rehenes en Irán, 1979; y la invasión soviética en Afganistán, 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories."	"La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales."
"Gosling and Stone received nominations for Best Actor and Actress respectively."	"Gosling y Stone recibieron nominaciones a Mejor Actor y Actriz respectivamente."
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay."	"Las otras nominaciones incluyen Mejor Película, Director, Fotografía, Diseño de Vestuario, Edición de Cine, Música Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guión Original."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio."	"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones a mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria."	"A última hora del domingo, el presidente de Estados Unidos, Donald Trump, en un comunicado emitido a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria."
"The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan."	"El anuncio se hizo después de que Trump mantuviera una conversación telefónica con el presidente turco, Recep Tayyip Erdoğan."
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate."	"Turquía también se haría cargo de proteger a los combatientes capturados de ISIS que, según el comunicado, las naciones europeas se han negado a repatriar."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement."	"Esto no sólo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya muy extendida, sino que proporciona detalles que los fósiles generalmente no pueden, como el color y la disposición tridimensional."
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside."	". Los científicos dicen que el plumaje de este animal era marrón castaño en la parte superior con una parte inferior pálida o de color carotenoide."
"The find also grants insight into the evolution of feathers in birds."	"El hallazgo también permite conocer la evolución de las plumas de las aves."
