"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora contamos con ratones de 4 meses que no son diabéticos y que solían serlo"", añadió."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death."	"Un cóctel de anticuerpos, ZMapp, inicialmente mostró resultados prometedores en el campo, pero estudios formales indicaron que tenía menos beneficios de los esperados para prevenir la muerte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it."	"En el ensayo PALM, ZMapp sirvió como control, lo que significa que los científicos lo utilizaron como referencia y compararon con él los otros tres tratamientos."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes."	"USA Gymnastics apoya la carta del Comité Olímpico de los Estados Unidos y reconoce la absoluta necesidad de la familia olímpica de promover un entorno seguro para todos nuestros atletas."
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification."	"Coincidimos con la declaración del Comité Olímpico de los Estados Unidos (USOC) de que los intereses de nuestros atletas, clubes y su deporte podrían verse mejor atendidos impulsando cambios significativos dentro de nuestra organización, en lugar de la descertificación."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes."	"USA Gymnastics apoya una investigación independiente que pueda arrojar luz sobre cómo un abuso de la magnitud descrita con tanta valentía por los sobrevivientes de Larry Nassar pudo pasar desapercibido durante tanto tiempo, y apoya cualquier cambio necesario y apropiado."
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment."	"USA Gymnastics y el USOC comparten el mismo objetivo: lograr que la gimnasia, y otras disciplinas, sean lo más seguras posible para que los atletas puedan perseguir sus sueños en un entorno seguro, positivo y empoderador."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration."	"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como asesor y posteriormente para la administración de Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger."	"Durante las selecciones de 1976, asesoró a Carter en política exterior y posteriormente se desempeñó como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979."	"Como NSA, ayudó a Carter en la gestión diplomática de asuntos internacionales, como los Acuerdos de Camp David en 1978; la normalización de las relaciones entre Estados Unidos y China a finales de la década de 1970; la Revolución iraní, que condujo a la crisis de los rehenes en Irán en 1979; y la invasión soviética de Afganistán en 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories."	"La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales."
"Gosling and Stone received nominations for Best Actor and Actress respectively."	"Gosling y Stone recibieron nominaciones a Mejor Actor y Mejor Actriz, respectivamente."
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay."	"Las demás nominaciones incluyen Mejor Película, Director, Fotografía, Diseño de Vestuario, Montaje, Banda Sonora Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guion Original."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio."	"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones a mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria."	"A última hora del domingo, el presidente de Estados Unidos, Donald Trump, en un comunicado emitido a través de su secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria."
"The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan."	"El anuncio se hizo después de que Trump mantuviera una conversación telefónica con el presidente turco, Recep Tayyip Erdoğan."
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate."	"Turquía también se haría cargo de la custodia de los combatientes de ISIS capturados, quienes, según el comunicado, las naciones europeas se han negado a repatriar."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement."	"Esto no solo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya muy extendida, sino que también proporciona detalles que los fósiles generalmente no pueden, como el color y la disposición tridimensional."
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside."	"Los científicos afirman que el plumaje de este animal era de color marrón castaño en la parte superior con una parte inferior pálida o de color carotenoide."
"The find also grants insight into the evolution of feathers in birds."	"El hallazgo también ofrece información sobre la evolución de las plumas en las aves."
"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features."	"Debido a que las plumas de dinosaurio no tienen un eje bien desarrollado, llamado raquis, pero sí tienen otras características de las plumas (púas y bárbulas), los investigadores dedujeron que el raquis probablemente fue un desarrollo evolutivo posterior a estas otras características."
"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."	"La estructura de las plumas sugiere que no se utilizaban para volar, sino para regular la temperatura o exhibirse. Los investigadores sugirieron que, aunque se trata de la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumón de polluelo."
"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."	"Los investigadores sugirieron que, aunque se trata de la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumón de polluelo."
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people."	"Ayer por la mañana, un coche bomba detonó en la comisaría de policía de Gaziantep, Turquía, y mató a dos policías e hirió a más de veinte personas."
"The governor's office said nineteen of the injured were police officers."	"La oficina del gobernador indicó que diecinueve de los heridos eran policías."
"Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack."	"La policía afirmó sospechar que un presunto militante de Daesh (ISIL) es responsable del ataque."
"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else."	"Descubrieron que el Sol funcionaba según los mismos principios básicos que otras estrellas: la actividad de todas las estrellas del sistema se determinaba únicamente por su luminosidad, su rotación y otros factores."
"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow."	"La luminosidad y la rotación se utilizan conjuntamente para determinar el número de Rossby de una estrella, que está relacionado con el flujo de plasma."
"The smaller the Rossby number, the less active the star with respect to magnetic reversals."	"Cuanto menor sea el número de Rossby, menos activa será la estrella con respecto a las inversiones magnéticas."
"During his trip, Iwasaki ran into trouble on many occasions."	"Durante su viaje, Iwasaki se metió en problemas en numerosas ocasiones."
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India."	"Fue asaltado por piratas, atacado en el Tíbet por un perro rabioso, escapó de su matrimonio en Nepal y fue arrestado en la India."
"The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies."	"El estándar 802.11n opera en las frecuencias de 2,4 GHz y 5,0 GHz."
"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios."	"Esto le permitirá ser retrocompatible con 802.11a, 802.11b y 802.11g, siempre que la estación base tenga radios duales."
"The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s."	"Las velocidades de 802.11n son sustancialmente más rápidas que las de sus predecesores, con un rendimiento teórico máximo de 600 Mbit/s."
"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related."	"Duvall, casado y con dos hijos adultos, no causó una gran impresión en Miller, a quien se le contó la historia."
"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying."""	"Cuando se le pidió que comentara, Miller dijo: ""Mike habla mucho durante la audiencia... Me estaba preparando, así que no escuché bien lo que decía""."
"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said."	"""Nos esforzaremos por reducir las emisiones de dióxido de carbono por unidad de PIB en un margen considerable para 2020, con respecto al nivel de 2005"", declaró Hu."
"He did not set a figure for the cuts, saying they will be made based on China's economic output."	"No fijó una cifra para los recortes, afirmando que se basarán en la producción económica de China."
"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later."""	"Hu animó a los países en desarrollo a ""evitar el viejo camino de contaminar primero y limpiar después""."
"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."""	"Añadió que ""sin embargo, no se les debe pedir que asuman obligaciones que vayan más allá de su etapa de desarrollo, responsabilidad y capacidades""."
"The Iraq Study Group presented its report at 12.00 GMT today."	"El Grupo de Estudio sobre Irak presentó su informe hoy a las 12:00 GMT."
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos."	"Advierte: Nadie puede garantizar que ninguna medida en Irak en este momento detenga la guerra sectaria, la creciente violencia o el desvío hacia el caos."
"The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East."	"El informe comienza con un llamado a un debate abierto y a la formación de un consenso en Estados Unidos sobre la política hacia Oriente Medio."
"The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction."	"El Informe critica duramente casi todos los aspectos de la política actual del Ejecutivo hacia Irak e insta a un cambio de rumbo inmediato."
"First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors."	"La primera de sus 78 recomendaciones es que se tome una nueva iniciativa diplomática antes de que finalice este año para asegurar las fronteras iraquíes contra intervenciones hostiles y restablecer las relaciones diplomáticas con sus vecinos."
"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires."	"La actual senadora y primera dama argentina, Cristina Fernández de Kirchner, anunció su candidatura presidencial ayer por la noche en La Plata, ciudad a 50 kilómetros de Buenos Aires."
"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation."	"La Sra. Kirchner anunció su intención de presentarse como candidata presidencial en el Teatro Argentino, el mismo lugar donde inició su campaña al Senado en 2005 como miembro de la delegación de la provincia de Buenos Aires."
"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal."""	"El debate se desató por la controversia sobre el gasto en ayuda humanitaria y reconstrucción tras el huracán Katrina, que algunos conservadores fiscales han calificado con humor como ""el acuerdo de Nueva Orleans de Bush""."
"Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders."	"Las críticas liberales a la reconstrucción se han centrado en la adjudicación de contratos a personas percibidas como miembros de Washington."
"Over four million people went to Rome to attend the funeral."	"Más de cuatro millones de personas acudieron a Roma para asistir al funeral."
"The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square."	"La asistencia fue tan numerosa que no fue posible que todos accedieran al funeral en la Plaza de San Pedro."
"Several large television screens were installed in various places in Rome to let the people watch the ceremony."	"Se instalaron varias pantallas gigantes de televisión en diversos lugares de Roma para que la gente pudiera presenciar la ceremonia."
"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people."	"En muchas otras ciudades de Italia y del resto del mundo, especialmente en Polonia, se instalaron instalaciones similares, que fueron vistas por un gran número de personas."
"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate."	"Los historiadores han criticado las políticas anteriores del FBI por centrar los recursos en casos fáciles de resolver, especialmente los de robo de coches, con la intención de aumentar la tasa de éxito de la agencia."
"Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography."	"El Congreso comenzó a financiar la iniciativa contra la obscenidad en el año fiscal 2005 y especificó que el FBI debía dedicar 10 agentes a la pornografía para adultos."
"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes."	"Robin Uthappa logró la mayor anotación de la entrada: 70 carreras en tan solo 41 bolas, con 11 cuatros y 2 seises."
"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership."	"Los bateadores del orden medio, Sachin Tendulkar y Rahul Dravid, tuvieron un buen desempeño y lograron una dupla de cien carreras."
"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings."	"Sin embargo, tras perder el wicket del capitán, India solo anotó 36 carreras, perdiendo 7 wickets para finalizar la entrada."
"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia."	"El presidente estadounidense George W. Bush llegó a Singapur la mañana del 16 de noviembre, iniciando una gira de una semana por Asia."
"He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong."	"Fue recibido por el viceprimer ministro de Singapur, Wong Kan Seng, y conversó sobre comercio y terrorismo con el primer ministro singapurense, Lee Hsien Loong."
"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia."	"Tras una semana de derrotas en las elecciones de mitad de mandato, Bush habló ante la audiencia sobre la expansión del comercio en Asia."
"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO."	"El primer ministro Stephen Harper acordó enviar la ""Ley de Aire Limpio"" del gobierno a un comité multipartidista para su revisión, antes de su segunda lectura, tras la reunión de 25 minutos del martes con el líder del NDP, Jack Layton, en la Oficina del Primer Ministro."
"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill."	"Layton había solicitado cambios en el proyecto de ley ambiental de los conservadores durante la reunión con el primer ministro, solicitando una ""reescritura exhaustiva y completa"" del proyecto de ley ambiental del Partido Conservador."
"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November."	"Desde que el Gobierno Federal intervino para asumir la financiación del hospital Mersey en Devonport, Tasmania, el gobierno estatal y algunos diputados federales han criticado esta medida, calificándola de maniobra publicitaria en vísperas de las elecciones federales que se convocarán en noviembre."
"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million."	"Sin embargo, el Primer Ministro John Howard ha declarado que la medida solo pretendía proteger las instalaciones del hospital de una degradación por parte del gobierno de Tasmania, al otorgar 45 millones de dólares australianos adicionales."
"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue."	"Según el último boletín, las lecturas del nivel del mar indicaron la generación de un tsunami. Se registró actividad de tsunami cerca de Pago Pago y Niue."
"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC."	"No se han reportado daños ni heridos importantes en Tonga, pero se produjo un corte temporal de electricidad, lo que, según se informa, impidió que las autoridades tonganas recibieran la alerta de tsunami emitida por el PTWC."
"Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted."	"Catorce escuelas en Hawái, ubicadas en o cerca de las costas, permanecieron cerradas todo el miércoles a pesar del levantamiento de las alertas."
"U.S. President George W. Bush welcomed the announcement."	"El presidente de Estados Unidos, George W. Bush, celebró el anuncio."
"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."""	"El portavoz de Bush, Gordon Johndroe, calificó la promesa de Corea del Norte como ""un paso importante hacia el objetivo de lograr la desnuclearización verificable de la península de Corea""."
"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today."	"La décima tormenta con nombre de la temporada de huracanes del Atlántico, la tormenta subtropical Jerry, se formó hoy en el océano Atlántico."
"The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land."	"El Centro Nacional de Huracanes (NHC) afirma que, por el momento, Jerry no representa una amenaza para la tierra."
"The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees."	"El Cuerpo de Ingenieros de EE. UU. estimó que 15 cm de lluvia podrían romper los diques previamente dañados."
"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped."	"El Noveno Distrito, que sufrió inundaciones de hasta 6 metros durante el huracán Katrina, se encuentra actualmente con el agua hasta la cintura, ya que el dique cercano se ha desbordado."
"Water is spilling over the levee in a section 100 feet wide."	"El agua está desbordando el dique en una sección de 30 metros de ancho."
"Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month."	"El administrador de la Cámara de los Comunes, Adam Cuerden, expresó su frustración por las eliminaciones en una entrevista con Wikinoticias el mes pasado."
"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion."""	"Él [Wales] básicamente nos mintió desde el principio. Primero, actuando como si fuera por razones legales. Segundo, fingiendo que nos escuchaba, incluso hasta el punto de eliminar su obra."
"The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media."	"La irritación de la comunidad dio lugar a los esfuerzos actuales para redactar una política sobre contenido sexual para el sitio, que alberga millones de medios con licencia abierta."
"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy."	"El trabajo realizado fue principalmente teórico, pero el programa se desarrolló para simular observaciones de la galaxia de Sagitario."
"The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter."	"El efecto que buscaba el equipo estaría causado por fuerzas de marea entre la materia oscura de la galaxia y la materia oscura de la Vía Láctea."
"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy."	"Al igual que la Luna ejerce una atracción sobre la Tierra, causando mareas, la Vía Láctea ejerce una fuerza sobre la galaxia de Sagitario."
"The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does."	"Los científicos concluyeron que la materia oscura afecta a otra materia oscura de la misma manera que lo hace la materia normal."
"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles."	"Esta teoría afirma que la mayor parte de la materia oscura alrededor de una galaxia se encuentra alrededor de ella en una especie de halo y está compuesta de muchas partículas pequeñas."
"Television reports show white smoke coming from the plant."	"Los reportes de televisión muestran humo blanco saliendo de la planta."
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water."	"Las autoridades locales advierten a los residentes de las inmediaciones de la planta que permanezcan en sus casas, apaguen el aire acondicionado y no beban agua del grifo."
"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant."	"Según la agencia nuclear japonesa, se han identificado cesio y yodo radiactivos en la planta."
"Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking."	"Las autoridades especulan que esto indica que los contenedores que contenían combustible de uranio en el sitio podrían haberse roto y tener fugas."
"Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal."	"El Dr. Tony Moll descubrió la tuberculosis extremadamente resistente a los medicamentos (XDR-TB) en la región sudafricana de KwaZulu-Natal."
"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate."""	"En una entrevista, afirmó que la nueva variante era ""muy preocupante y alarmante debido a su altísima tasa de mortalidad""."
"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers."	"El Dr. Moll cree que algunos pacientes podrían haber contraído la bacteria en el hospital, y al menos dos eran personal sanitario del hospital."
