"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora contamos con ratones de 4 meses que no son diabéticos y que solían serlo"", añadió."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death."	"Un cóctel de anticuerpos, ZMapp, inicialmente mostró resultados prometedores en el campo, pero estudios formales indicaron que tenía menos beneficios de los esperados para prevenir la muerte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it."	"En el ensayo PALM, ZMapp sirvió como control, lo que significa que los científicos lo utilizaron como referencia y compararon con él los otros tres tratamientos."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes."	"USA Gymnastics apoya la carta del Comité Olímpico de los Estados Unidos y reconoce la absoluta necesidad de la familia olímpica de promover un entorno seguro para todos nuestros atletas."
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification."	"Coincidimos con la declaración del Comité Olímpico de los Estados Unidos (USOC) de que los intereses de nuestros atletas, clubes y su deporte podrían verse mejor atendidos impulsando cambios significativos dentro de nuestra organización, en lugar de la descertificación."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes."	"USA Gymnastics apoya una investigación independiente que pueda arrojar luz sobre cómo un abuso de la magnitud descrita con tanta valentía por los sobrevivientes de Larry Nassar pudo pasar desapercibido durante tanto tiempo, y apoya cualquier cambio necesario y apropiado."
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment."	"USA Gymnastics y el USOC comparten el mismo objetivo: lograr que la gimnasia, y otras disciplinas, sean lo más seguras posible para que los atletas puedan perseguir sus sueños en un entorno seguro, positivo y empoderador."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration."	"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como asesor y posteriormente para la administración de Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger."	"Durante las selecciones de 1976, asesoró a Carter en política exterior y posteriormente se desempeñó como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979."	"Como NSA, ayudó a Carter en la gestión diplomática de asuntos internacionales, como los Acuerdos de Camp David en 1978; la normalización de las relaciones entre Estados Unidos y China a finales de la década de 1970; la Revolución iraní, que condujo a la crisis de los rehenes en Irán en 1979; y la invasión soviética de Afganistán en 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories."	"La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales."
"Gosling and Stone received nominations for Best Actor and Actress respectively."	"Gosling y Stone recibieron nominaciones a Mejor Actor y Mejor Actriz, respectivamente."
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay."	"Las demás nominaciones incluyen Mejor Película, Director, Fotografía, Diseño de Vestuario, Montaje, Banda Sonora Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guion Original."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio."	"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones a mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria."	"A última hora del domingo, el presidente de Estados Unidos, Donald Trump, en un comunicado emitido a través de su secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria."
"The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan."	"El anuncio se hizo después de que Trump mantuviera una conversación telefónica con el presidente turco, Recep Tayyip Erdoğan."
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate."	"Turquía también se haría cargo de la custodia de los combatientes de ISIS capturados, quienes, según el comunicado, las naciones europeas se han negado a repatriar."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement."	"Esto no solo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya muy extendida, sino que también proporciona detalles que los fósiles generalmente no pueden, como el color y la disposición tridimensional."
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside."	"Los científicos afirman que el plumaje de este animal era de color marrón castaño en la parte superior con una parte inferior pálida o de color carotenoide."
"The find also grants insight into the evolution of feathers in birds."	"El hallazgo también ofrece información sobre la evolución de las plumas en las aves."
