"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"«Ahora tenemos ratones de 4 meses no diabéticos que antes eran diabéticos», añadió."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio."	"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones a la mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que ningún otro estudio."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria."	"A última hora del domingo, el presidente de Estados Unidos, Donald Trump, en una declaración realizada a través de su secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria."
"The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan."	"El anuncio se hizo después de que Trump mantuviera una conversación telefónica con el presidente turco Recep Tayyip Erdoğan."
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate."	"Turquía también se encargaría de custodiar a los combatientes del ISIS capturados que, según el comunicado, los países europeos se han negado a repatriar."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement."	"Esto no sólo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya muy extendida, sino que proporciona detalles que los fósiles generalmente no pueden, como el color y la disposición tridimensional."
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside."	". Los científicos afirman que el plumaje de este animal era de color castaño en la parte superior y pálido o carotenoide en la inferior."
"The find also grants insight into the evolution of feathers in birds."	"El hallazgo también permite comprender mejor la evolución de las plumas en las aves."
"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features."	"Dado que las plumas del dinosaurio no tienen un eje bien desarrollado, llamado raquis, pero sí otras características de las plumas -barbas y bárbulas-, los investigadores dedujeron que el raquis era probablemente un desarrollo evolutivo posterior a estas otras características."
"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."	"La estructura de las plumas sugiere que no se utilizaban para volar, sino para regular la temperatura o exhibirse. Los investigadores sugirieron que, aunque se trata de la cola de un dinosaurio joven, la muestra muestra plumaje de adulto y no el plumón de un polluelo."
"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."	"Los investigadores sugieren que, aunque se trata de la cola de un dinosaurio joven, la muestra muestra plumaje de adulto y no el plumón de un polluelo."
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people."	"La explosión de un coche bomba en el cuartel general de la policía de Gaziantep (Turquía) ayer por la mañana mató a dos policías e hirió a más de veinte personas."
"The governor's office said nineteen of the injured were police officers."	"La oficina del gobernador dijo que diecinueve de los heridos eran agentes de policía."
"Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack."	"La policía dijo que sospecha que un presunto militante de Daesh (ISIL) es el responsable del ataque."
"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else."	"Descubrieron que el Sol funcionaba según los mismos principios básicos que las demás estrellas: La actividad de todas las estrellas del sistema depende de su luminosidad, su rotación y nada más."
"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow."	"La luminosidad y la rotación se utilizan conjuntamente para determinar el número de Rossby de una estrella, que está relacionado con el flujo de plasma."
"The smaller the Rossby number, the less active the star with respect to magnetic reversals."	"Cuanto menor es el número de Rossby, menos activa es la estrella con respecto a las inversiones magnéticas."
"During his trip, Iwasaki ran into trouble on many occasions."	"Durante su viaje, Iwasaki se encontró con problemas en numerosas ocasiones."
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India."	"Fue asaltado por piratas, atacado en el Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue detenido en la India."
"The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies."	"La norma 802.11n funciona tanto en la frecuencia de 2,4 GHz como en la de 5,0 GHz."
"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios."	"Esto le permite ser retrocompatible con 802.11a, 802.11b y 802.11g, siempre que la estación base disponga de radios duales."
"The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s."	"Las velocidades de 802.11n son sustancialmente superiores a las de sus predecesores, con un caudal teórico máximo de 600Mbit/s."
"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related."	"Duvall, que está casado y tiene dos hijos adultos, no causó gran impresión a Miller, con quien se relacionó la historia."
"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying."""	"Cuando se le pidió un comentario, Miller dijo: «Mike habla mucho durante la audiencia... Yo me estaba preparando, así que no oía realmente lo que decía»."
"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said."	"«Nos esforzaremos por reducir las emisiones de dióxido de carbono por unidad de PIB en un margen notable para 2020 con respecto al nivel de 2005», declaró Hu."
"He did not set a figure for the cuts, saying they will be made based on China's economic output."	"No fijó una cifra para los recortes, diciendo que se harán en función de la producción económica de China."
"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later."""	"Hu animó a los países en desarrollo a «evitar el viejo camino de contaminar primero y limpiar después»."
"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities."""	"Añadió que «sin embargo, no se les debe pedir que asuman obligaciones que van más allá de su fase de desarrollo, responsabilidad y capacidades»."
"The Iraq Study Group presented its report at 12.00 GMT today."	"El Grupo de Estudio sobre Irak presentó hoy su informe a las 12.00 GMT."
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos."	"En él se advierte de que nadie puede garantizar que cualquier curso de acción en Iraq en este momento vaya a detener la guerra sectaria, la creciente violencia o el deslizamiento hacia el caos."
"The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East."	"El Informe se abre con un llamamiento al debate abierto y a la formación de un consenso en Estados Unidos sobre la política hacia Oriente Medio."
"The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction."	"El Informe critica duramente casi todos los aspectos de la actual política del Ejecutivo hacia Irak e insta a un cambio de rumbo inmediato."
"First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors."	"La primera de sus 78 recomendaciones es que se emprenda una nueva iniciativa diplomática antes de finales de este año para asegurar las fronteras de Irak contra intervenciones hostiles y restablecer las relaciones diplomáticas con sus vecinos."
"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires."	"La actual senadora y primera dama argentina, Cristina Fernández de Kirchner, anunció su candidatura presidencial ayer por la tarde en La Plata, ciudad situada a 50 kilómetros de Buenos Aires."
"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation."	"La Sra. Kirchner anunció su intención de presentarse a la presidencia en el Teatro Argentino, el mismo lugar que utilizó para iniciar su campaña al Senado en 2005 como miembro de la delegación de la provincia de Buenos Aires."
"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal."""	"El debate surgió a raíz de la polémica sobre el gasto en ayuda y reconstrucción tras el huracán Katrina, que algunos conservadores fiscales han calificado humorísticamente como «el New Orleans Deal de Bush»."
"Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders."	"Las críticas liberales al esfuerzo de reconstrucción se han centrado en la adjudicación de contratos de reconstrucción a personas percibidas como conocedoras de Washington."
"Over four million people went to Rome to attend the funeral."	"Más de cuatro millones de personas acudieron a Roma para asistir al funeral."
"The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square."	"El número de asistentes fue tan elevado que no todos pudieron acceder al funeral en la Plaza de San Pedro."
"Several large television screens were installed in various places in Rome to let the people watch the ceremony."	"Se instalaron grandes pantallas de televisión en varios lugares de Roma para que la gente pudiera ver la ceremonia."
"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people."	"En muchas otras ciudades de Italia y del resto del mundo, sobre todo en Polonia, se hicieron montajes similares, que fueron vistos por un gran número de personas."
"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate."	"Los historiadores han criticado las políticas del FBI en el pasado por centrar los recursos en casos fáciles de resolver, especialmente los casos de coches robados, con la intención de aumentar la tasa de éxito de la agencia."
"Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography."	"El Congreso empezó a financiar la iniciativa contra la obscenidad en el año fiscal 2005 y especificó que el FBI debía dedicar 10 agentes a la pornografía para adultos."
"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes."	"Robin Uthappa fue el máximo anotador de la entrada, 70 carreras en sólo 41 pelotas, con 11 cuatros y 2 seises."
"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership."	"Los bateadores de medio orden, Sachin Tendulkar y Rahul Dravid, rindieron bien e hicieron una asociación de cien carreras."
"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings."	"Sin embargo, tras la pérdida del capitán, India sólo hizo 36 carreras y perdió 7 wickets al final del partido."
"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia."	"El Presidente de Estados Unidos, George W. Bush, llegó a Singapur la mañana del 16 de noviembre, iniciando una gira de una semana por Asia."
"He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong."	"Fue recibido por el Viceprimer Ministro de Singapur, Wong Kan Seng, y trató temas de comercio y terrorismo con el Primer Ministro de Singapur, Lee Hsien Loong."
"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia."	"Tras una semana de pérdidas en las elecciones de mitad de mandato, Bush habló ante una audiencia sobre la expansión del comercio en Asia."
"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO."	"El Primer Ministro Stephen Harper ha aceptado enviar la «Ley de Aire Limpio» del gobierno a un comité de todos los partidos para su revisión, antes de su segunda lectura, tras la reunión de 25 minutos que mantuvo el martes con el líder del NDP, Jack Layton, en la PMO."
"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill."	"Layton había pedido cambios en el proyecto de ley de medio ambiente de los conservadores durante la reunión con la PM, solicitando una «reescritura exhaustiva y completa» del proyecto de ley de medio ambiente del partido conservador."
"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November."	"Desde que el Gobierno federal intervino para hacerse cargo de la financiación del hospital Mersey de Devonport (Tasmania), el gobierno estatal y algunos diputados federales han criticado este acto como una maniobra en el preludio de las elecciones federales que se convocarán en noviembre."
"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million."	"Pero el Primer Ministro John Howard ha dicho que el acto sólo pretendía salvaguardar las instalaciones del hospital de ser degradadas por el gobierno de Tasmania, al dar 45 millones de dólares australianos más."
"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue."	"Según el último boletín, las lecturas del nivel del mar indicaban que se había generado un tsunami. Se registró cierta actividad de tsunami cerca de Pago Pago y Niue."
"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC."	"En Tonga no se han registrado daños importantes ni heridos, pero se produjo un corte temporal del suministro eléctrico que, al parecer, impidió a las autoridades tonganas recibir la alerta de tsunami emitida por el PTWC."
"Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted."	"Catorce escuelas de Hawai situadas en la costa o cerca de ella permanecieron cerradas todo el miércoles a pesar de que se levantaron las alertas."
"U.S. President George W. Bush welcomed the announcement."	"El Presidente de Estados Unidos, George W. Bush, acogió con satisfacción el anuncio."
"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."""	"El portavoz de Bush, Gordon Johndroe, calificó el compromiso de Corea del Norte de «paso importante hacia el objetivo de lograr la desnuclearización verificable de la península coreana.»"
"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today."	"La décima tormenta con nombre de la temporada de huracanes del Atlántico, la tormenta subtropical Jerry, se formó hoy en el océano Atlántico."
"The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land."	"El Centro Nacional de Huracanes (NHC) dice que en este momento Jerry no supone ninguna amenaza para tierra."
"The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees."	"El Cuerpo de Ingenieros de EE.UU. estimó que 15 cm de precipitaciones podrían romper los diques dañados anteriormente."
"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped."	"El Noveno Distrito, que sufrió inundaciones de hasta 6 metros de altura durante el huracán Katrina, se encuentra actualmente con el agua hasta la cintura debido a la superación del dique cercano."
"Water is spilling over the levee in a section 100 feet wide."	"El agua está desbordando el dique en una sección de 30 metros de ancho."
"Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month."	"El administrador de Commons, Adam Cuerden, expresó su frustración por las supresiones cuando habló con Wikinoticias el mes pasado."
"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion."""	"""Básicamente [Wales] nos mintió desde el principio. Primero, actuando como si fuera por razones legales. Segundo, fingiendo que nos escuchaba, hasta el momento de borrar su arte""."
"The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media."	"La irritación de la comunidad dio lugar a los esfuerzos actuales por redactar una política sobre contenidos sexuales para el sitio, que alberga millones de medios de comunicación con licencia abierta."
"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy."	"El trabajo realizado era sobre todo teórico, pero el programa se escribió para simular observaciones realizadas en la galaxia Sagitario."
"The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter."	"El efecto que buscaba el equipo estaría causado por las fuerzas de marea entre la materia oscura de la galaxia y la de la Vía Láctea."
"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy."	"Al igual que la Luna ejerce una atracción sobre la Tierra, provocando mareas, la Vía Láctea ejerce una fuerza sobre la galaxia Sagitario."
"The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does."	"Los científicos pudieron concluir que la materia oscura afecta a otra materia oscura del mismo modo que lo hace la materia regular."
"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles."	"Según esta teoría, la mayor parte de la materia oscura que rodea a una galaxia se encuentra alrededor de ella en una especie de halo, y está formada por muchas partículas pequeñas."
"Television reports show white smoke coming from the plant."	"Las imágenes de televisión muestran humo blanco procedente de la planta."
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water."	"Las autoridades locales están advirtiendo a los residentes en las inmediaciones de la planta que permanezcan en sus casas, apaguen los aparatos de aire acondicionado y no beban agua del grifo."
"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant."	"Según la agencia nuclear japonesa, se han identificado cesio y yodo radiactivos en la planta."
"Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking."	"Las autoridades especulan con que esto indica que los contenedores que contienen combustible de uranio en el emplazamiento pueden haberse roto y tener fugas."
"Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal."	"El Dr. Tony Moll descubrió la tuberculosis extremadamente farmacorresistente (XDR-TB) en la región sudafricana de KwaZulu-Natal."
"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate."""	"En una entrevista, dijo que la nueva variante era «muy altamente preocupante y alarmante por la altísima tasa de letalidad»."
"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers."	"Algunos pacientes podrían haber contraído el virus en el hospital, cree el Dr. Moll, y al menos dos eran trabajadores sanitarios del hospital."
